id,bs_year,bs_month,month_name,ad_start_date,days,created_at,updated_at
1,2000,1,Baishak,1943-04-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
2,2000,2,Jestha,1943-05-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
3,2000,3,Ashad,1943-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
4,2000,4,Shrawan,1943-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
5,2000,5,Bhadra,1943-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
6,2000,6,Asoj,1943-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
7,2000,7,Kartik,1943-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
8,2000,8,Mangsir,1943-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
9,2000,9,Poush,1943-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
10,2000,10,Magh,1944-01-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
11,2000,11,Falgun,1944-02-13,29,2026-08-22 00:00:00,2026-08-22 00:00:00
12,2000,12,Chaitra,1944-03-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
13,2001,1,Baishak,1944-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
14,2001,2,Jestha,1944-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
15,2001,3,Ashad,1944-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
16,2001,4,Shrawan,1944-07-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
17,2001,5,Bhadra,1944-08-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
18,2001,6,Asoj,1944-09-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
19,2001,7,Kartik,1944-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
20,2001,8,Mangsir,1944-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
21,2001,9,Poush,1944-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
22,2001,10,Magh,1945-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
23,2001,11,Falgun,1945-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
24,2001,12,Chaitra,1945-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
25,2002,1,Baishak,1945-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
26,2002,2,Jestha,1945-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
27,2002,3,Ashad,1945-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
28,2002,4,Shrawan,1945-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
29,2002,5,Bhadra,1945-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
30,2002,6,Asoj,1945-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
31,2002,7,Kartik,1945-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
32,2002,8,Mangsir,1945-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
33,2002,9,Poush,1945-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
34,2002,10,Magh,1946-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
35,2002,11,Falgun,1946-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
36,2002,12,Chaitra,1946-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
37,2003,1,Baishak,1946-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
38,2003,2,Jestha,1946-05-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
39,2003,3,Ashad,1946-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
40,2003,4,Shrawan,1946-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
41,2003,5,Bhadra,1946-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
42,2003,6,Asoj,1946-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
43,2003,7,Kartik,1946-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
44,2003,8,Mangsir,1946-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
45,2003,9,Poush,1946-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
46,2003,10,Magh,1947-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
47,2003,11,Falgun,1947-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
48,2003,12,Chaitra,1947-03-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
49,2004,1,Baishak,1947-04-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
50,2004,2,Jestha,1947-05-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
51,2004,3,Ashad,1947-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
52,2004,4,Shrawan,1947-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
53,2004,5,Bhadra,1947-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
54,2004,6,Asoj,1947-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
55,2004,7,Kartik,1947-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
56,2004,8,Mangsir,1947-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
57,2004,9,Poush,1947-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
