id,name,province_id,created_at,updated_at
1,Kaski,1,2025-07-11 08:12:14.166699,2025-07-11 08:12:14.166699
2,Gorkha,1,2025-07-11 08:13:18.122667,2025-07-11 08:13:18.122667
3,Lamjung,1,2025-07-11 08:15:04.667489,2025-07-11 08:15:04.667489
6,Tanahu,1,2025-07-11 08:19:17.088185,2025-07-11 08:19:17.088185
4,Syangja,1,2025-07-11 22:24:04.092643,2025-07-11 22:24:04.092643
5,Manang,1,2025-07-11 22:24:28.790194,2025-07-11 22:24:28.790194
7,Mustang,1,2025-07-11 22:24:46.621987,2025-07-11 22:24:46.621987
8,Parbat,1,2025-07-11 22:27:04.018676,2025-07-11 22:27:04.018676
9,Myagdi,1,2025-07-11 22:27:59.653748,2025-07-11 22:27:59.653748
10,Baglung,1,2025-07-11 22:28:09.105577,2025-07-11 22:28:09.105577
11,Nawalpur,1,2025-07-11 22:28:20.096774,2025-07-11 22:28:20.096774
12,Kathmandu,4,2025-07-13 10:04:53.53099,2025-07-13 10:04:53.53099
13,Lalitpur,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
14,Bhaktapur,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
15,Chitwan,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
16,Rasuwa,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
17,Ramechhap,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
18,Kavre,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
19,Makhwanpur,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
20,Dhading,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
21,Nuwakot,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
22,Sindhupalchoke,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
23,Dolakha,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
24,Sindhuli,4,2025-08-15 15:37:47.26155,2025-08-15 15:37:47.26155
25,Jhapa,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
26,Ilam,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
27,Panchthar,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
28,Taplejung,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
29,Sankhuwasabha,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
30,Terhathum,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
31,Bhojpur,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
32,Dhankuta,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
33,Khotang,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
34,Sunsari,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
35,Morang,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
36,Solukhumbu,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
37,Okhaldhunga,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
38,Udaipur,2,2025-08-15 15:44:16.772488,2025-08-15 15:44:16.772488
39,Saptari,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
40,Siraha,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
41,Dhanusha,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
42,Mahottari,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
43,Sarlahi,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
44,Rautahat,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
45,Bara,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
46,Parsa,3,2025-08-15 15:50:50.463397,2025-08-15 15:50:50.463397
47,Arghakhanchi,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
48,Banke,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
49,Bardiya,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
50,Dang,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
51,Eastern Rukum,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
52,Gulmi,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
53,Kapilvastu,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
54,Nawalparasi,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
55,Palpa,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
56,Pyuthan,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
57,Rolpa,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
58,Rupandehi,5,2025-08-15 15:54:42.581476,2025-08-15 15:54:42.581476
59,Dailekh,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
60,Dolpa,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
61,Humla,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
62,Jajarkot,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
63,Jumla,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
64,Kalikot,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
65,Mugu,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
66,Salyan,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
67,Surkhet,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
68,Western Rukum,6,2025-08-15 15:56:12.904984,2025-08-15 15:56:12.904984
69,Achham,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
70,Baitadi,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
71,Bajhang,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
72,Bajura,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
73,Dadeldhura,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
74,Darchula,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
75,Doti,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
76,Kailali,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
77,Kanchanpur,7,2025-08-15 15:57:15.576456,2025-08-15 15:57:15.576456
