id,name,district_id,created_at,updated_at
1,Pokhara Metropolitan City,1,2025-07-12 12:19:48.821925,2025-07-12 12:19:48.821925
2,Annapurna Rural Municipality,1,2025-07-12 12:20:26.601314,2025-07-12 12:20:26.601314
3,Machhapuchchhre Rural Municipality,1,2025-07-12 12:20:47.863198,2025-07-12 12:20:47.863198
4,Madi Rural Municipality,1,2025-07-12 12:21:03.850475,2025-07-12 12:21:03.850475
5,Rupa Rural Municipality,1,2025-07-12 12:21:23.096727,2025-07-12 12:21:23.096727
6,Kathmandu Metropolitan City,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
7,Budhanilkantha Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
8,Chandragiri Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
9,Dakshinkali Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
10,Gokarneshwor Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
11,Kageshwori-Manohara Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
12,Kirtipur Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
13,Nagarjun Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
14,Shankharapur Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
15,Tarakeshwar Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
16,Tokha Municipality,12,2025-08-04 09:55:15.761485,2025-08-04 10:01:54.69021
18,Gorkha Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
19,Palungtar Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
20,Aarughat Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
21,Ajirkot Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
22,Barpak Sulikot Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
23,Bhimsen Thapa Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
24,Chum Nubri Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
25,Dharche Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
26,Gandaki Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
27,Shahid Lakhan Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
28,Siranchok Rural Municipality,2,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
29,Besisahar Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
30,Madhyanepal Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
31,Rainas Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
32,Sundarbazar Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
33,Dordi Rural Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
34,Dudhpokhari Rural Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
35,Kwholasothar Rural Municipality,3,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
